ground_truth_category,POS,count,relative_frequency,average_frequency,difference_from_average,emoji
achievement,ADJ,6018,0.07885633418942292,0.07779459595337697,0.0010617382360459532,🏆
achievement,ADP,7529,0.09865558991561403,0.09560148310616372,0.003054106809450313,🏆
achievement,ADV,3682,0.04824676345720426,0.046190201562761886,0.0020565618944423728,🏆
achievement,CONJ,1877,0.024595104565228787,0.03153644751804714,-0.006941342952818355,🏆
achievement,DET,6797,0.08906389223753866,0.09016430288633485,-0.0011004106487961934,🏆
achievement,NOUN,16734,0.21927249855862466,0.22513607562207932,-0.005863577063454667,🏆
achievement,NUM,1051,0.013771686147072698,0.010967969456067872,0.0028037166910048258,🏆
achievement,PRON,9910,0.12985481419361602,0.12482309923775514,0.005031714955860883,🏆
achievement,PRT,2412,0.031605430053986056,0.03624059627998815,-0.004635166226002095,🏆
achievement,PUNCT,6009,0.07873840348026626,0.08027112177346278,-0.001532718293196525,🏆
achievement,VERB,14281,0.18712982860736935,0.18112781694398736,0.00600201166338199,🏆
achievement,X,16,2.0965459405629226e-4,1.7067126997061922e-4,3.898332408567304e-5,🏆
affection,ADJ,7467,0.06905704350399526,0.07779459595337697,-0.008737552449381708,❤️
affection,ADP,9926,0.0917986090559337,0.09560148310616372,-0.0038028740502300123,❤️
affection,ADV,5358,0.049552382361645456,0.046190201562761886,0.0033621807988835697,❤️
affection,CONJ,3665,0.03389501331754957,0.03153644751804714,0.0023585657995024295,❤️
affection,DET,7187,0.06646751997632436,0.09016430288633485,-0.023696782910010497,❤️
affection,NOUN,25000,0.2312074578277597,0.22513607562207932,0.006071382205680376,❤️
affection,NUM,972,0.008989345960343297,0.010967969456067872,-0.0019786234957245748,❤️
affection,PRON,17232,0.1593666765315182,0.12482309923775514,0.03454357729376306,❤️
affection,PRT,4210,0.038935335898194735,0.03624059627998815,0.0026947396182065847,❤️
affection,PUNCT,8617,0.07969258656407222,0.08027112177346278,-5.785352093905655e-4,❤️
affection,VERB,18470,0.17081606984314887,0.18112781694398736,-0.010311747100838486,❤️
affection,X,24,2.219591595146493e-4,1.7067126997061922e-4,5.128788954403008e-5,❤️
bonding,ADJ,2495,0.0712084023060677,0.07779459595337697,-0.006586193647309266,👪
bonding,ADP,3610,0.10303099491980136,0.09560148310616372,0.007429511813637643,👪
bonding,ADV,1367,0.039014783948855526,0.046190201562761886,-0.00717541761390636,👪
bonding,CONJ,1081,0.03085221759232833,0.03153644751804714,-6.842299257188121e-4,👪
bonding,DET,2905,0.08290998344654375,0.09016430288633485,-0.0072543194397911015,👪
