ground_truth_category,POS,count,relative_frequency,average_frequency,difference_from_average,emoji
bonding,NOUN,8595,0.24530509732290656,0.22513607562207932,0.02016902170082724,👪
bonding,NUM,311,0.008876077401678178,0.010967969456067872,-0.002091892054389694,👪
bonding,PRON,4815,0.13742222729607853,0.12482309923775514,0.012599128058323389,👪
bonding,PRT,1433,0.040898453108054116,0.03624059627998815,0.004657856828065965,👪
bonding,PUNCT,2585,0.07377704206861123,0.08027112177346278,-0.006494079704851552,👪
bonding,VERB,5835,0.16653347793823847,0.18112781694398736,-0.014594339005748885,👪
bonding,X,6,1.7124265083623495e-4,1.7067126997061922e-4,5.713808656157299e-7,👪
enjoy_the_moment,ADJ,2759,0.08606813077115048,0.07779459595337697,0.008273534817773515,😊
enjoy_the_moment,ADP,2840,0.08859495882206139,0.09560148310616372,-0.007006524284102325,😊
enjoy_the_moment,ADV,1716,0.05353132018966808,0.046190201562761886,0.007341118626906194,😊
enjoy_the_moment,CONJ,939,0.029292488145744946,0.03153644751804714,-0.0022439593723021962,😊
enjoy_the_moment,DET,2872,0.08959321187921138,0.09016430288633485,-5.710910071234782e-4,😊
enjoy_the_moment,NOUN,7178,0.22392063888195657,0.22513607562207932,-0.001215436740122755,😊
enjoy_the_moment,NUM,322,0.010044921387571749,0.010967969456067872,-9.230480684961229e-4,😊
enjoy_the_moment,PRON,3742,0.11673321687047666,0.12482309923775514,-0.008089882367278478,😊
enjoy_the_moment,PRT,1027,0.03203768405290741,0.03624059627998815,-0.004202912227080739,😊
enjoy_the_moment,PUNCT,2780,0.08672323433990517,0.08027112177346278,0.006452112566442389,😊
enjoy_the_moment,VERB,5876,0.18330421761916646,0.18112781694398736,0.002176400675179102,😊
enjoy_the_moment,X,5,1.5597704017968555e-4,1.7067126997061922e-4,-1.4694229790933669e-5,😊
exercise,ADJ,240,0.07692307692307693,0.07779459595337697,-8.715190303000414e-4,🏋️
exercise,ADP,308,0.09871794871794871,0.09560148310616372,0.0031164656117849965,🏋️
exercise,ADV,126,0.04038461538461539,0.046190201562761886,-0.005805586178146499,🏋️
exercise,CONJ,106,0.03397435897435897,0.03153644751804714,0.0024379114563118295,🏋️
exercise,DET,327,0.10480769230769231,0.09016430288633485,0.014643389421357456,🏋️
exercise,NOUN,627,0.20096153846153847,0.22513607562207932,-0.024174537160540854,🏋️
exercise,NUM,62,0.01987179487179487,0.010967969456067872,0.008903825415726999,🏋️
exercise,PRON,353,0.11314102564102564,0.12482309923775514,-0.0116820735967295,🏋️
exercise,PRT,121,0.03878205128205128,0.03624059627998815,0.0025414550020631324,🏋️
exercise,PUNCT,259,0.08301282051282051,0.08027112177346278,0.0027416987393577286,🏋️
exercise,VERB,591,0.18942307692307692,0.18112781694398736,0.008295259979089559,🏋️
leisure,ADJ,1301,0.08314161554192229,0.07779459595337697,0.005347019588545318,⛱️
leisure,ADP,1323,0.08454754601226994,0.09560148310616372,-0.011053937093893781,⛱️
leisure,ADV,523,0.03342280163599182,0.046190201562761886,-0.012767399926770069,⛱️
leisure,CONJ,386,0.024667689161554193,0.03153644751804714,-0.006868758356492949,⛱️
leisure,DET,1418,0.09061860940695296,0.09016430288633485,4.543065206181057e-4,⛱️
leisure,NOUN,3921,0.25057515337423314,0.22513607562207932,0.025439077752153816,⛱️
leisure,NUM,150,0.009585889570552147,0.010967969456067872,-0.0013820798855157246,⛱️
leisure,PRON,1834,0.11720347648261759,0.12482309923775514,-0.007619622755137556,⛱️
leisure,PRT,620,0.03962167689161554,0.03624059627998815,0.003381080611627389,⛱️
leisure,PUNCT,1284,0.08205521472392638,0.08027112177346278,0.0017840929504635977,⛱️
leisure,VERB,2887,0.18449642126789367,0.18112781694398736,0.0033686043239063157,⛱️
leisure,X,1,6.390593047034765e-5,1.7067126997061922e-4,-1.0676533950027156e-4,⛱️
nature,ADJ,394,0.07930756843800323,0.07779459595337697,0.0015129724846262571,🌳
nature,ADP,516,0.10386473429951691,0.09560148310616372,0.008263251193353194,🌳
nature,ADV,294,0.059178743961352656,0.046190201562761886,0.01298854239859077,🌳
nature,CONJ,216,0.043478260869565216,0.03153644751804714,0.011941813351518074,🌳
nature,DET,535,0.10768921095008052,0.09016430288633485,0.017524908063745667,🌳
nature,NOUN,1017,0.20471014492753623,0.22513607562207932,-0.0204259306945431,🌳
nature,NUM,28,0.005636070853462158,0.010967969456067872,-0.005331898602605714,🌳
nature,PRON,497,0.1000402576489533,0.12482309923775514,-0.02478284158880184,🌳
nature,PRT,158,0.03180354267310789,0.03624059627998815,-0.004437053606880258,🌳
nature,PUNCT,387,0.07789855072463768,0.08027112177346278,-0.0023725710488251006,🌳
nature,VERB,925,0.1861916264090177,0.18112781694398736,0.00506380946503035,🌳
nature,X,1,2.0128824476650564e-4,1.7067126997061922e-4,3.061697479588642e-5,🌳
